ftalk	stalk
tree	tree
hc	he
stand	stand
look	look
at	at
hcr	her
in	in
hewilderment	bewilderment
and	and
despair	despair
tlen	then
tom	tom
fuddenly	suddenly
pull	pull
from	from
his	his
pocket	pocket
the	the
brasf	brass
knob	knob
from	from
tle	the
doorknockcr	doorknocker
leme	here
be	be
fomething	something
i	i
want	want
to	to
give	give
vou	you
do	do
ut	nt
want	want
it	it
tom	tom
prondly	proudly
it	it
be	be
a	a
knob	knob
of	off
a	a
braff	brass
doorknofker	doorknocker
pleafe	please
befky	becky
wil	will
nt	nt
you	you
take	take
it	it
becky	becky
take	take
it	it
befitantly	hesitantly
but	but
do	do
not	not
turn	turn
hg	big
sacrifice	sacrifice
be	he
uean	lean
ovr	over
and	and
pick	pick
tbe	the
frog	frog
out	out
from	from
under	under
his	his
hat	hat
lom	tom
bif	his
voce	voice
hcavy	heavy
witb	with
emotion	emotion
and	and
herc	here
he	be
tle	the
heft	best
treasure	treasure
i	i
get	get
becky	becky
waver	waver
tenderly	tenderly
he	he
take	take
her	her
hand	hand
and	and
open	open
il	it
lt	it
vith	with
that	that
be	he
pll	put
the	the
frog	frog
into	into
her	her
open	open
band	hand
hccky	becky
let	let
out	out
a	a
frghten	frighten
fcream	scream
and	and
the	the
frog	frog
jump	jump
to	to
tle	the
ground	ground
medium	medium
long	long
shot	shot
hedkv	becky
ruu	run
awav	away
angrily	angrily
levve	leave
tom	tom
itare	stare
after	after
hr	her
n	in
beiildermcnt	bewilderment
at	at
thc	the
strange	strange
vay	way
of	of
girl	girl
he	he
bend	bend
down	down
and	and
pick	pick
up	up
the	the
lrog	frog
who	who
croak	croak
al	at
him	him
angrily	angrily
fade	fade
out	out
iccne	scene
out	out
view	view
pgc	page
mage	image
fcquence	sequence
omlt	omit
from	from
orlginal	original
fcript	script
ade	fade
in	in
tbe	the
gravevard	graveyard
mfdlum	medium
long	long
fhot	shot
midnight	midnight
tom	tom
and	and
huck	huck
enter	enter
through	through
a	a
bole	hole
in	in
the	the
crazy	crazy
board	board
fence	fence
vbich	which
lean	lean
inaard	inward
in	in
plafe	place
and	and
utwabd	outward
in	in
otber	other
place	place
but	but
ftand	stand
upright	upright
noiherc	nowhere
thc	the
graveyard	graveyard
he	be
in	in
a	a
forrv	sorry
ftatc	state
graff	grass
and	and
veed	weed
grow	grow
rank	rank
hoard	board
serv	serve
for	for
grave	grave
stone	stone
and	and
all	all
lean	lean
a	a
littl	little
crazly	crazily
vifp	wisp
of	of
fog	fog
float	float
acrosm	across
the	the
scenc	scene
at	at
lnlerval	interval
makc	make
the	the
light	light
even	even
more	more
dim	dim
an	an
owl	owl
kecp	keep
boot	hoot
tbe	the
jlase	place
he	be
very	very
fcary	scary
as	as
the	the
boy	boy
plow	plow
through	through
tbe	the
graff	grass
clofr	closer
fhot	shot
trnck	truck
with	with
tom	tom
and	and
huck	huck
as	as
tbey	they
fueak	sneak
aioug	along
tom	tom
in	in
a	a
ihispci	whisper
hucky	hucky
do	do
vou	you
behiee	believe
tle	the
dead	dead
pcople	people
like	like
it	it
for	for
us	us
to	to
be	be
lere	here
buck	huck
whisper	whisper
back	back
it	it
be	be
all	all
rght	right
if	if
you	you
do	do
nt	nt
ftep	step
on	on
em	em
they	they
pick	pick
ther	their
way	way
along	along
geometricallv	geometrically
so	so
as	as
to	to
avoid	avoid
ftp	step
on	on
tbc	the
grave	grave
after	after
a	a
fcw	few
stp	step
tom	tom
ihifper	whisper
lucky	hucky
do	do
you	you
refkon	reckon
hof	hos
williamf	williams
hear	hear
uf	us
tahk	talk
huck	huck
in	in
a	a
mattcroffact	matteroffact
vife	voice
o	o
fourse	course
he	he
do	do
and	and
you	you
can	can
nt	nt
be	be
too	too
how	how
vou	you
talk	talk
tomi	tomi
wifht	wisht
i	i
have	have
fay	say
miftcr	mister
williamf	williams
viev	view
pagw	page
be	he
feizc	seize
luck	huck
f	s
arm	arm
they	they
botb	both
stop	stop
again	again
the	the
knock	knock
found	sound
be	be
lear	hear
devil	devil
bc	be
comc	come
tom	tom
pull	pull
huck	huck
quickly	quickly
up	up
into	into
a	a
tree	tree
clofe	close
fhot	shot
the	the
two	two
boy	boy
they	they
peeu	peer
cautloufly	cautiously
down	down
from	from
tlc	the
tree	tree
medium	medium
fbot	shot
over	over
boy	boy
fhouldr	shoulder
toiard	toward
grave	grave
tlere	there
be	be
a	a
light	light
in	in
the	the
grave	grave
lt	it
caft	cast
immenfe	immense
eeric	eerie
sladow	shadow
of	of
three	three
luman	human
form	form
on	on
tie	the
erazy	crazy
fenwc	fence
huck	huck
witb	with
a	a
sludder	shudder
there	there
be	be
three	three
of	of
em	em
we	we
he	be
gner	goner
can	can
yon	you
pray	pray
tomi	tomi
wilu	will
trv	try
now	now
i	i
lay	lay
mc	me
down	down
to	to
fieep	sleep
i	i
buck	huck
clutch	clutch
tom	tom
s	s
arm	arm
lok	look
cuof	close
flot	shot
at	at
grave	grave
the	the
tbrce	three
figure	figure
cmerge	emerge
from	from
ihe	the
grave	grave
two	two
fhot	shot
huck	huck
and	and
tom	tom
luk	huck
fuddenly	suddenly
vby	why
they	they
ai	ai
nt	nt
devil	devil
tbat	that
he	be
muff	muff
pottcr	potter
an	an
he	he
be	be
drnnk	drunk
again	again
closc	close
sot	shot
at	at
grave	grave
view	view
page	page
image	image
one	one
man	man
injun	injun
joe	joe
of	of
the	the
man	man
doctor	doctor
robin	robin
on	on
muff	muff
potter	potter
draiu	drain
a	a
hottie	bottle
of	of
whifkey	whiskey
which	which
he	he
flnisl	finish
and	and
throw	throw
awav	away
aud	and
stagger	stagger
over	over
to	to
a	a
iheelbarrow	wheelbarrow
rohinfon	robinson
lold	hold
the	the
lantern	lantern
higl	high
whilc	while
muef	muff
aud	and
injun	injun
joe	joe
one	one
on	on
eacl	each
side	side
tug	tug
and	and
leave	heave
at	at
ropc	rope
tie	tie
around	around
a	a
coflin	coffin
and	and
fiart	start
to	to
lift	lift
it	it
out	out
of	of
tle	the
grave	grave
the	the
moon	moon
have	have
come	come
out	out
a	a
little	little
more	more
and	and
make	make
the	the
fcene	scene
quite	quite
clear	clear
cuose	close
flot	shot
huck	huck
and	and
tom	tom
injun	injun
joe	joe
huck	huck
witb	with
real	real
fear	fear
in	in
hif	his
voice	voice
i	i
have	have
druther	druther
they	they
be	be
dcil	devil
than	than
him	him
that	that
be	be
doctor	doctor
robinson	robinson
be	be
bodv	body
mnatchin	snatchin
medium	medium
sbot	shot
at	at
grave	grave
muff	muff
and	and
injun	injun
joe	joe
plac	place
tle	the
coffu	coffin
on	on
tbe	the
ground	ground
hetveen	between
tle	the
grave	grave
and	and
thc	the
boy	boy
iujun	injun
joc	joe
tug	tug
at	at
tbe	the
rope	rope
tie	tie
around	around
lhd	the
cofln	coffin
mutf	muff
pull	pull
a	a
knife	knife
irom	from
the	the
pocket	pocket
i	i
wll	will
cul	cut
it	it
he	he
cut	cut
the	the
rope	rope
wtb	with
his	his
knife	knife
rohinson	robinson
nervoufly	nervously
hr	be
get	get
ftart	start
muff	muff
stagger	stagger
ff	off
to	to
get	get
the	the
ibeelbarrow	wheelbarrow
injun	injun
joc	joe
walk	walk
mlnacingly	menacingly
toward	toward
thz	the
dmctor	doctor
injun	injun
a	a
minute	minute
fawbonef	sawbones
what	what
do	do
i	i
get	get
out	out
o	of
tbif	this
have	have
already	already
pay	pay
you	you
in	in
advance	advance
injun	injun
joe	joe
movc	move
chofer	closer
to	to
robinfon	robinson
that	that
measlv	measly
five	five
dollar	dollar
you	you
be	be
go	go
na	na
give	give
me	me
fv	five
more	more
noi	now
on	on
flie	five
more	more
ncxt	next
week	week
you	you
only	only
just	just
start	start
pavin	payin
roblnfon	robinson
angrily	angrily
be	be
von	you
crazy	crazy
do	do
ycur	your
job	job
and	and
fbut	shut
up	up
vcw	view
page	page
image	image
injun	injun
joe	joe
cuoc	close
to	to
rohinfon	robinson
who	who
he	be
go	go
ta	ta
makc	make
me	me
jhut	shut
up	up
vou	you
treat	treat
me	me
like	like
dirt	dirt
lbng	long
enougb	enough
now	now
i	i
get	get
you	you
fuppose	suppose
lhe	the
truth	truth
slart	start
leawin	leakin
out	out
clofe	close
sht	shot
muff	muff
he	he
look	look
off	off
fee	see
the	the
argnment	argument
joe	joe
do	do
nt	nt
do	do
nt	nt
back	back
to	to
icene	scene
injun	injun
joe	joe
the	the
doctor	doctor
lasb	lash
out	out
with	with
his	his
fimt	fist
and	and
knock	knock
injun	injun
joe	joe
sprawliug	sprawling
he	he
hand	hand
miftake	mistake
his	his
ntent	intent
and	and
lay	lay
lim	him
out	out
with	with
a	a
fhovel	shovel
muff	muff
fall	fall
near	near
joe	joe
clofc	close
fhot	shot
injun	injun
joe	joe
h	he
sec	see
the	the
knie	knife
ln	in
mufi	muff
f	s
hand	hand
and	and
grab	grab
it	it
mdium	medium
sbot	shot
at	at
grave	grave
injun	injun
joe	joe
fpringf	springs
to	to
lif	his
foot	foot
a	a
struggle	struggle
ensue	ensue
finahv	finally
joe	joe
drive	drive
lif	his
knife	knife
inlo	into
tb	the
doctor	doctor
l	s
back	back
clofe	close
slot	shot
tom	tom
and	and
buck	huck
lorrifv	horrify
they	they
look	look
at	at
eacb	each
other	other
and	and
drop	drop
oul	out
of	of
ihe	the
tre	tree
tlen	then
tuin	turn
and	and
run	run
vithout	without
care	care
al	at
alh	all
wlethcr	whether
or	or
not	not
thcy	they
ltp	step
on	on
tle	the
grave	grave
which	which
they	they
lave	have
so	so
caiefullv	carefully
avoid	avoid
carly	early
medium	medium
fbt	shot
at	at
grave	grave
injun	injun
joe	joe
put	put
tle	the
knife	knife
in	in
muff	muff
f	s
hand	hand
and	and
thcn	then
g	go
ver	over
and	and
hie	lie
doin	down
in	in
tie	the
fame	same
placc	place
in	in
which	which
tbe	the
doctor	doctor
knock	knock
him	him
relume	resume
tbc	the
identical	identical
poftion	position
in	in
whicb	which
muff	muff
last	last
fee	see
bim	him
before	before
muff	muff
be	be
knock	knock
out	out
two	two
sht	shot
tom	tom
and	and
huck	huck
vici	view
page	page
imagc	image
run	run
like	like
lare	scare
rabbit	rabbit
medium	medium
clofe	close
fhot	shot
muff	muff
moff	muff
begin	begin
to	to
ftir	stir
and	and
moan	moan
he	he
thcn	then
at	at
joe	joe
in	in
anguifh	anguish
joe	joe
slt	sit
up	up
bad	bad
muff	muff
what	what
bavc	have
you	you
do	do
it	it
lor	for
i	i
never	never
do	do
it	it
be	be
that	that
n	in
your	your
land	hand
mnff	muff
look	look
at	at
tbe	the
knife	knife
and	and
tbrow	throw
it	it
awav	away
in	in
horror	horror
muff	muff
aghast	aghast
je	joe
oh	oh
joe	joe
i	i
never	never
man	mean
to	to
do	do
it	it
ext	ext
old	old
tannery	tannery
long	long
flocl	shoot
the	the
boy	boy
run	run
into	into
fcene	scene
and	and
dasb	dash
through	through
the	the
open	open
door	door
of	of
tle	the
an	an
old	old
ruin	ruin
wth	with
crumbling	crumbling
walh	wall
int	int
lannery	tannery
medium	medium
clofe	close
fhoot	shoot
tbe	the
hoy	boy
run	run
in	in
and	and
coulapfe	collapse
on	on
the	the
ground	ground
remain	remain
for	for
a	a
momcnt	moment
try	try
to	to
recover	recover
their	their
breatb	breath
moonliglt	moonlight
stream	stream
tlrough	through
tlc	the
open	open
door	door
tom	tom
huck	huck
do	do
vou	you
fuppofe	suppose
a	we
ougbt	ought
to	to
tell	tell
anybody	anybody
you	you
want	want
to	to
get	get
uf	us
kill	kill
that	that
devil	devil
injun	injun
joe	joe
wonld	would
nt	nt
make	make
any	any
more	more
of	of
drowndin	drowndin
nf	us
tnan	than
a	a
coupl	couple
of	of
cat	cat
if	if
wc	we
ne	be
to	to
lell	tell
on	on
him	him
noment	moment
f	s
sober	sober
coufideration	consideration
nod	nod
flowlv	slowly
and	and
torn	turn
lookaher	lookahere
let	let
he	be
takc	take
an	an
sacar	swear
to	to
onc	one
another	another
to	to
keep	keep
mum	mum
your	your
hand	hand
that	that
be	be
good	good
enougb	enough
for	for
little	little
rubhlshy	rubbishy
tling	thing
but	but
there	there
hc	be
writin	writin
bout	bout
a	a
big	big
tling	thing
like	like
thif	this
an	an
sign	sign
in	in
blcod	blood
and	and
lotf	lots
o	of
fwearin	swearin
tom	tom
pick	pick
up	up
a	a
cean	clean
pine	pine
fbingle	shingle
take	take
a	a
smalh	small
fragmcnt	fragment
of	of
rcd	red
keel	keel
rom	from
hif	his
pocket	pocket
and	and
lie	lie
dovn	down
fo	so
that	that
the	the
full	full
ligbt	light
of	of
the	the
moon	moon
fhini	shine
on	on
the	the
shingle	shingle
begin	begin
to	to
sciawl	scrawl
frantically	frantically
diffolve	dissolve
to	to
insert	insert
flingle	shingle
se	see
book	book
page	page
af	as
tom	tom
arite	write
the	the
laft	last
few	few
vord	word
tom	tom
s	s
finu	finn
and	and
tom	tom
fawyr	sawyer
fwcar	swear
tlcy	they
will	will
keep	keep
mum	mum
and	and
may	may
they	they
drop	drop
dovn	down
dead	dead
in	in
thcir	their
tradk	track
il	if
they	they
ever	ever
teul	tell
and	and
rot	rot
buck	huck
f	s
voice	voice
repeat	repeat
rot	rot
clofe	close
fhot	shot
tom	tom
and	and
buck	huck
tom	tom
take	take
a	a
pin	pin
from	from
hif	his
lapel	lapel
who	who
do	do
the	the
fame	same
the	the
bov	boy
put	put
tbeir	their
on	on
the	the
fhingle	shingle
ln	in
hlood	blood
from	from
come	come
tbe	the
foond	sound
o	of
a	a
dog	dog
hoi	howl
ext	ext
iood	wood
nght	night
viea	view
page	page
imagc	image
a	a
dog	dog
lift	lift
bif	his
head	head
and	and
mournfullv	mournfully
bay	bay
the	the
moon	moon
fade	fade
out	out
fectmon	section
detail	detail
fade	fade
ln	in
ext	ext
village	village
strcct	street
afternoon	afternoon
cbild	child
be	be
gaily	gaily
come	come
bome	home
from	from
school	school
thcv	they
paff	pass
tom	tom
come	come
mope	mope
auong	along
sink	sink
in	in
think	think
and	and
alone	alone
camera	camera
truck	truck
iith	with
him	him
he	he
have	have
a	a
coat	coat
on	on
suddenly	suddenly
le	he
bear	hear
a	a
loud	loud
kncck	knock
and	and
look	look
olf	off
startlc	startle
cxt	ext
dr	dr
robinson	robinson
f	s
lousc	house
medium	medium
shot	shot
a	a
man	man
be	be
knock	knock
on	on
the	the
front	front
door	door
beside	beside
it	it
he	be
a	a
sign	sign
phineaf	phineas
robinfon	robinson
mdthat	mdthat
the	the
door	door
of	of
the	the
bousc	house
nxt	next
door	door
pen	open
and	and
the	the
ohd	old
foldier	soldier
appear	appear
old	old
sodier	soldier
irritablv	irritably
nc	no
ufe	use
to	to
keep	keep
banu	bang
n	on
that	that
door	door
the	the
doctor	doctor
do	do
nt	nt
come	come
home	home
all	all
nigbt	night
fhe	she
go	go
back	back
in	in
her	her
houfe	house
flam	slam
the	the
cofe	close
fhot	shot
tom	tom
he	he
fluddei	shudder
at	at
thls	this
reminder	reminder
o	of
laft	last
night	night
f	s
tragedy	tragedy
and	and
stait	start
off	off
rapidhv	rapidly
fom	for
homc	home
diffolve	dissolve
to	to
nt	int
fawyer	sawyer
live	live
room	room
medium	medium
fhot	shot
dav	day
tm	tom
be	be
seat	seat
on	on
the	the
fofa	sofa
in	in
the	the
foreground	foreground
look	look
very	very
nervous	nervous
jumpy	jumpy
and	and
confclendc	conscience
stiifken	stricken
the	the
door	door
lad	lead
to	to
tbe	the
kitchen	kitchen
open	open
ln	in
tbc	the
background	background
and	and
sid	sid
pke	poke
a	a
nosev	nosey
eve	eye
around	around
thc	the
corner	corner
camera	camera
dolhy	dolly
to	to
a	a
tio	two
fht	shot
o	of
the	the
door	door
as	as
be	he
pull	pull
aunl	aunt
pollv	polly
into	into
the	the
room	room
flc	she
carry	carry
a	a
drip	drip
spoon	spoon
fid	sid
whifper	whisper
hc	he
bc	be
he	be
fit	sit
tbere	there
like	like
tlat	that
ever	ever
since	since
fchool	school
aunt	aunt
jlly	polly
witl	with
conceru	concern
medium	medium
shot	shot
viei	view
page	page
lmage	image
tom	tom
ueap	leap
from	from
tl	the
ffa	sofa
in	in
terror	terror
annt	aunt
poluv	polly
and	and
fid	sid
come	come
to	to
lim	him
awnt	aunt
be	be
the	the
malter	matter
witl	with
you	you
tom	tom
only	only
fucceed	succeed
in	in
make	make
a	a
choke	choke
noife	noise
fidhe	sidhe
tahk	talk
in	in
hif	his
fleep	sleep
so	so
much	much
le	he
keep	keep
me	me
awake	awake
about	about
hal	half
the	the
nigbt	night
tom	tom
drop	drop
lif	his
eye	eye
uke	like
a	a
whip	whip
lound	hound
aunt	aunt
do	do
nl	nt
wafte	waste
my	my
tim	time
i	i
he	be
iookin	cookin
lupper	supper
what	what
ail	ail
vou	you
tom	tom
badger	badger
cry	cry
out	out
in	in
almolt	almost
a	a
fcream	scream
nutbin	nuthin
i	i
know	know
of	of
aunt	aunt
olv	polly
shake	shake
ler	her
head	head
gravelv	gravely
at	at
tlif	this
i	i
know	know
wlat	what
aill	will
curc	cure
it	it
sid	sid
iitl	with
innocent	innocent
brighineff	brightness
painkiler	painkiller
aunt	aunt
a	a
double	double
dos	dose
and	and
rght	right
nov	now
fle	she
exit	exit
into	into
the	the
kitchen	kitchen
lom	tom
give	give
fid	sid
a	a
doleful	doleful
glare	glare
you	you
do	do
talk	talk
such	such
ftuff	stuff
n	in
your	your
fleep	sleep
vou	you
fay	say
bloodbhood	bloodblood
vou	you
say	say
that	that
over	over
and	and
over	over
and	and
you	you
say	say
i	i
will	will
nt	nt
tell	tell
tell	tell
what	what
lom	tom
fway	sway
clutch	clutch
the	the
iidc	side
f	of
lle	the
sofa	sofa
look	look
reaulv	really
ill	ill
aunt	aunt
polhy	polly
rusb	rush
hack	back
in	in
again	again
with	with
a	a
bttle	bottle
and	and
fpoon	spoon
sbc	she
uncork	uncork
th	the
bottle	bottle
aunt	aunt
pollv	polly
aith	with
snappy	snappy
cheerfulnefs	cheerfulness
now	now
vcu	you
lake	take
tlif	this
it	it
will	will
cure	cure
nytling	anything
open	open
your	your
mout	mouth
lom	tom
opn	open
hif	his
moutb	mouth
and	and
ftait	start
aiay	away
immediatehv	immediately
iom	tom
be	be
prtend	pretend
inftant	instant
he	be
merely	merely
hold	hold
view	view
page	page
in	in
lif	his
moulb	mouth
without	without
faallow	swallow
it	it
aunt	aunt
pollv	polly
turn	turn
fuddenly	suddenly
and	and
rulb	rush
back	back
l	to
tom	tom
and	and
as	as
if	if
tle	the
whole	whole
procedure	procedure
be	be
famliar	familiar
fetdb	fetch
him	him
a	a
wallop	wallop
on	on
tle	the
back	back
tom	tom
giye	give
a	a
dcnvnlfive	convulsive
swallow	swallow
and	and
immediatelv	immediately
hc	be
double	double
over	over
and	and
leap	leap
about	about
hold	hold
him	his
ltomach	stomach
al	as
if	if
it	it
be	be
on	on
fre	fire
aunt	aunt
polly	polly
af	as
she	she
pour	pour
oui	out
another	another
sponful	spoonful
and	and
hand	hand
t	it
to	to
him	him
now	now
gt	get
your	your
breatl	breath
lhen	then
lakc	take
this	this
othcr	other
fpoonfuh	spoonful
hear	hear
what	what
i	i
sav	say
tom	tom
nod	nod
bis	his
head	head
dolefully	dolefully
the	the
sound	sound
of	of
a	a
pot	pot
boil	boil
ovcr	over
on	on
tbe	the
slove	stove
attract	attract
aunt	aunt
pohly	polly
f	s
aitentin	attention
aunt	aunt
pllv	polly
af	as
sbe	she
turu	turn
and	and
bufile	bustle
out	out
do	do
it	it
sd	sid
go	go
out	out
with	with
aunt	aunt
polly	polly
toff	toss
his	his
head	head
and	and
fneer	sneer
hack	back
at	at
tom	tom
al	as
le	he
leave	leave
fd	sid
repcat	repeat
do	do
it	it
close	close
